E00ZP000000000         A07ECF-IF ZPM                 ZPM/2EFC LOGGER     00000001000000000000000000000000000000000000000000nomedosoftwarehouse                     nomedoaplicativo                        1.1.1     linha1aplicativo                          linha2aplicativo                          
E01ZP000000000         AECF-IF ZPM                 ZPM/2EFC LOGGER     01.00.01  2007071214514902300000000000000TDM000001000112200711192007111901.01.01AC1704 01.00.00
E02ZP000000000         AZPM/2EFC LOGGER     00000000000000888888888888  CONTRIBUINTE EXEMPLO S/A                AV CAMILO PESTANA 000, SÃO PAULO, SP, CEP 00000-000                                                                     2007073116285000000100000000002142866407
E12ZP000000000         AZPM/2EFC LOGGER     07000112046397000001200711192007111921510800000000155375S
E14ZP000000000         AZPM/2EFC LOGGER     0703722604615820071119000000000011610000000000001V0000000000000V00000000001160N0000000000000D                                        00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703722704616020071119000000000003800000000000000V0000000000000V00000000000380N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703722804616120071119000000000004600000000000000V0000000000000V00000000000460N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703722904616320071119000000000010800000000000000V0000000000000V00000000001080N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703723004616520071119000000000008900000000000000V0000000000000V00000000000890N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703723104616620071119000000000011900000000000000V0000000000000V00000000001190N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703723204616920071119000000000001400000000000000V0000000000000V00000000000140N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703723304617020071119000000000010700000000000000V0000000000000V00000000001070N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703723404617120071119000000000008900000000000000V0000000000000V00000000000890N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703723504617220071119000000000023520000000000000V0000000000000V00000000002352N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703723604617320071119000000000006600000000000000V0000000000000V00000000000660N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703723704617420071119000000000009400000000000000V0000000000000V00000000000940N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703723804618120071119000000000011610000000000000V0000000000000V00000000001161N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703723904618320071119000000000003500000000000000V0000000000000V00000000000350N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703724004618520071119000000000004400000000000000V0000000000000V00000000000440N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703724104618620071119000000000011700000000000000V0000000000000V00000000001170N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703724204618820071119000000000004200000000000000V0000000000000V00000000000420N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703724304618920071119000000000008100000000000000V0000000000000V00000000000810N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703724404619020071119000000000010210000000000000V0000000000000V00000000001021N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703724504619120071119000000000009200000000000000V0000000000000V00000000000920N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703724604619220071119000000000001700000000000000V0000000000000V00000000000170N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703724704619420071119000000000010200000000000000V0000000000000V00000000001020N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703724804619520071119000000000000010000000000000V0000000000000V00000000000001N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703724904619620071119000000000011910000000000000V0000000000000V00000000001191N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703725004619820071119000000000002800000000000000V0000000000000V00000000000280N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703725104620020071119000000000007700000000000000V0000000000000V00000000000770N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703725204620120071119000000000024200000000000000V0000000000000V00000000002420N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703725304620320071119000000000009230000000000000V0000000000000V00000000000923N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703725404620520071119000000000004600000000000000V0000000000000V00000000000460N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703725504620620071119000000000014010000000000000V0000000000000V00000000001401N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703725604620720071119000000000005400000000000000V0000000000000V00000000000540N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703725704620820071119000000000007900000000000000V0000000000000V00000000000790N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703725804621120071119000000000009000000000000000V0000000000000V00000000000900N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703725904621220071119000000000001500000000000000V0000000000000V00000000000150N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703726004621320071119000000000004800000000000000V0000000000000V00000000000480N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703726104621420071119000000000003400000000000000V0000000000000V00000000000340N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703726204621520071119000000000005400000000000000V0000000000000V00000000000540N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703726304621620071119000000000002700000000000000V0000000000000V00000000000270N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703726404621720071119000000000003500000000000000V0000000000000V00000000000350N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703726504621820071119000000000013500000000000000V0000000000000V00000000001350N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703726604621920071119000000000005110000000000000V0000000000000V00000000000511N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703726704622020071119000000000005800000000000000V0000000000000V00000000000580N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703726804622120071119000000000005600000000000000V0000000000000V00000000000560N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703726904622220071119000000000008210000000000000V0000000000000V00000000000821N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703727004622320071119000000000011910000000000000V0000000000000V00000000001191N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703727104622420071119000000000001700000000000000V0000000000000V00000000000170N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703727204622620071119000000000003300000000000000V0000000000000V00000000000330N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703727304622820071119000000000013800000000000000V0000000000000V00000000001380N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703727404622920071119000000000004600000000000000V0000000000000V00000000000460N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703727504623120071119000000000004400000000000000V0000000000000V00000000000440N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703727604623220071119000000000009000000000000000V0000000000000V00000000000900N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703727704623320071119000000000004500000000000000V0000000000000V00000000000450N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703727804623520071119000000000011200000000000000V0000000000000V00000000001120N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703727904623720071119000000000011100000000000000V0000000000000V00000000001110N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703728004623920071119000000000005300000000000000V0000000000000V00000000000530N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703728104624020071119000000000006000000000000000V0000000000000V00000000000600N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703728204624120071119000000000005600000000000000V0000000000000V00000000000560N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703728304624320071119000000000007200000000000000V0000000000000V00000000000720N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703728404624420071119000000000004600000000000000V0000000000000V00000000000460N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703728504624520071119000000000018500000000000000V0000000000000V00000000001850N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703728604624620071119000000000004500000000000000V0000000000000V00000000000450N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703728704624720071119000000000003600000000000000V0000000000000V00000000000360N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703728804624820071119000000000006400000000000000V0000000000000V00000000000640N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703728904625020071119000000000005200000000000000V0000000000000V00000000000520N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703729004625120071119000000000002800000000000000V0000000000000V00000000000280N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703729104625220071119000000000003500000000000000V0000000000000V00000000000350N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703729204625320071119000000000003300000000000000V0000000000000V00000000000330N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703729304625420071119000000000003200000000000000V0000000000000V00000000000320N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703729404625520071119000000000009810000000000000V0000000000000V00000000000981N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703729504625620071119000000000006400000000000000V0000000000000V00000000000640N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703729604625720071119000000000003700000000000000V0000000000000V00000000000370N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703729704625820071119000000000004600000000000000V0000000000000V00000000000460N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703729804626020071119000000000007900000000000000V0000000000000V00000000000790N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703729904626120071119000000000000000000000000000V0000000000000V00000000000000S0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703730004626220071119000000000008200000000000000V0000000000000V00000000000820N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703730104626320071119000000000003400000000000000V0000000000000V00000000000340N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703730204626420071119000000000009900000000000000V0000000000000V00000000000990N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703730304626520071119000000000012000000000000000V0000000000000V00000000001200N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703730404626720071119000000000003200000000000000V0000000000000V00000000000320N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703730504626820071119000000000014010000000000000V0000000000000V00000000001401N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703730604627020071119000000000001900000000000000V0000000000000V00000000000190N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703730704627120071119000000000010400000000000000V0000000000000V00000000001040N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703730804627220071119000000000001700000000000000V0000000000000V00000000000170N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703730904627320071119000000000004800000000000000V0000000000000V00000000000480N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703731004627420071119000000000001600000000000000V0000000000000V00000000000160N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703731104627520071119000000000001700000000000000V0000000000000V00000000000170N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703731204627720071119000000000003300000000000000V0000000000000V00000000000330N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703731304627920071119000000000003200000000000000V0000000000000V00000000000320N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703731404628120071119000000000003000000000000000V0000000000000V00000000000300N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703731504628220071119000000000010500000000000000V0000000000000V00000000001050N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703731604628420071119000000000004400000000000000V0000000000000V00000000000440N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703731704628520071119000000000003800000000000000V0000000000000V00000000000380N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703731804628720071119000000000012800000000000000V0000000000000V00000000001280N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703731904628820071119000000000001700000000000000V0000000000000V00000000000170N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703732004628920071119000000000006000000000000000V0000000000000V00000000000600N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703732104629020071119000000000004900000000000000V0000000000000V00000000000490N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703732204629220071119000000000007900000000000000V0000000000000V00000000000790N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703732304629320071119000000000002600000000000000V0000000000000V00000000000260N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703732404629420071119000000000006000000000000000V0000000000000V00000000000600N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703732504629520071119000000000007800000000000000V0000000000000V00000000000780N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703732604629620071119000000000006400000000000000V0000000000000V00000000000640N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703732704629720071119000000000002200000000000000V0000000000000V00000000000220N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703732804629820071119000000000007500000000000000V0000000000000V00000000000750N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703732904630020071119000000000007700000000000000V0000000000000V00000000000770N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703733004630120071119000000000004300000000000000V0000000000000V00000000000430N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703733104630220071119000000000006800000000000000V0000000000000V00000000000680N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703733204630320071119000000000008210000000000000V0000000000000V00000000000821N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703733304630420071119000000000007200000000000000V0000000000000V00000000000720N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703733404630520071119000000000005600000000000000V0000000000000V00000000000560N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703733504630620071119000000000014200000000000000V0000000000000V00000000001420N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703733604630720071119000000000004300000000000000V0000000000000V00000000000430N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703733704630820071119000000000002700000000000000V0000000000000V00000000000270N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703733804631020071119000000000012310000000000000V0000000000000V00000000001231N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703733904631120071119000000000008200000000000000V0000000000000V00000000000820N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703734004631320071119000000000010400000000000000V0000000000000V00000000001040N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703734104631420071119000000000003400000000000000V0000000000000V00000000000340N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703734204631620071119000000000015500000000000000V0000000000000V00000000001550N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703734304631720071119000000000019600000000000000V0000000000000V00000000001960N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703734404631820071119000000000009010000000000000V0000000000000V00000000000901N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703734504631920071119000000000003600000000000000V0000000000000V00000000000360N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703734604632120071119000000000004600000000000000V0000000000000V00000000000460N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703734704632220071119000000000002700000000000000V0000000000000V00000000000270N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703734804632320071119000000000002400000000000000V0000000000000V00000000000240N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703734904632420071119000000000008400000000000000V0000000000000V00000000000840N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703735004632620071119000000000001700000000000000V0000000000000V00000000000170N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703735104632720071119000000000007700000000000000V0000000000000V00000000000770N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703735204632820071119000000000004600000000000000V0000000000000V00000000000460N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703735304632920071119000000000012200000000000000V0000000000000V00000000001220N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703735404633020071119000000000003800000000000000V0000000000000V00000000000380N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703735504633220071119000000000007000000000000000V0000000000000V00000000000700N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703735604633420071119000000000009000000000000000V0000000000000V00000000000900N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703735704633520071119000000000004600000000000000V0000000000000V00000000000460N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703735804633620071119000000000007800000000000000V0000000000000V00000000000780N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703735904633720071119000000000005600000000000000V0000000000000V00000000000560N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703736004633820071119000000000003700000000000000V0000000000000V00000000000370N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703736104633920071119000000000003800000000000000V0000000000000V00000000000380N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703736204634020071119000000000005200000000000000V0000000000000V00000000000520N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703736304634120071119000000000004800000000000000V0000000000000V00000000000480N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703736404634220071119000000000007200000000000000V0000000000000V00000000000720N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703736504634520071119000000000009700000000000000V0000000000000V00000000000970N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703736604634820071119000000000007200000000000000V0000000000000V00000000000720N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703736704635020071119000000000008210000000000000V0000000000000V00000000000821N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703736804635220071119000000000000500000000000000V0000000000000V00000000000050N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703736904635320071119000000000007300000000000000V0000000000000V00000000000730N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703737004635520071119000000000005600000000000000V0000000000000V00000000000560N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703737104635620071119000000000006300000000000000V0000000000000V00000000000630N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703737204635720071119000000000005200000000000000V0000000000000V00000000000520N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703737304635920071119000000000007600000000000000V0000000000000V00000000000760N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703737404636020071119000000000003200000000000000V0000000000000V00000000000320N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703737504636220071119000000000008300000000000000V0000000000000V00000000000830N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703737604636320071119000000000016800000000000000V0000000000000V00000000001680N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703737704636420071119000000000023800000000000000V0000000000000V00000000002380N0000000000000                                         00000000000000
